2019-08-03 02:56:30.683954|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.1 (2019-07-02 13:17:23)
2019-08-03 02:56:30.684957|INFO    |ServerLibPriv |   |SystemInformation: Windows Server 2016 (14393) x64 (AMD or Intel) Binary: 64bit
2019-08-03 02:56:30.684957|INFO    |ServerLibPriv |   |Using hardware aes
2019-08-03 02:56:30.684957|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-08-03 02:56:30.684957|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-08-03 02:56:30.685960|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-08-03 02:56:30.698997|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-08-03 02:56:30.698997|INFO    |Accounting    |   |Licensing Information
2019-08-03 02:56:30.698997|INFO    |Accounting    |   |licensed to       : Anonymous
2019-08-03 02:56:30.698997|INFO    |Accounting    |   |type              : No License
2019-08-03 02:56:30.698997|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-08-03 02:56:30.698997|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-08-03 02:56:30.698997|INFO    |Accounting    |   |max virtualservers: 1
2019-08-03 02:56:30.698997|INFO    |Accounting    |   |max slots         : 32
2019-08-03 02:56:30.738097|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-03 02:56:31.427937|INFO    |              |   |Puzzle precompute time: 717
2019-08-03 02:56:31.428940|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-08-03 02:56:31.445963|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-08-03 02:56:31.445963|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-08-03 02:56:31.446966|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-08-04 02:56:28.834187|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-05 02:56:26.956661|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-06 02:56:25.061435|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-07 02:56:23.155867|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-08 02:56:21.253121|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-09 02:56:19.365855|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
